>NUP37 ;FBpp0084187 : G-rich region from 151 to 153 corrected with score 18
>NUP160 ;FBpp0079788 : D-rich region from 1125 to 1138 corrected with score 35
>NUP160 ;FBpp0079788 : E-rich region from 448 to 475 corrected with score 21
>NUP160 ;FBpp0079788 : P-rich region from 389 to 391 corrected with score 21
>NUP160 ;FBpp0079788 : T-rich region from 95 to 121 corrected with score 21
>NUP160 ;FBpp0079788 : S-rich region from 1188 to 1229 corrected with score 20
>NUP160 ;FBpp0079788 : P-rich region from 645 to 649 corrected with score 19
>NUP160 ;FBpp0079788 : C-rich region from 487 to 488 corrected with score 18
>NUP160 ;FBpp0079788 : C-rich region from 1091 to 1100 corrected with score 18
>NUP160 ;FBpp0079788 : S-rich region from 733 to 773 corrected with score 18
>NUP160 ;FBpp0079788 : W-rich region from 1230 to 1232 corrected with score 18
>NUP160 ;FBpp0079788 : Q-rich region from 285 to 304 corrected with score 17
>NUP160 ;FBpp0079788 : Q-rich region from 617 to 625 corrected with score 17
>NUP160 ;FBpp0079788 : L-rich region from 774 to 792 corrected with score 17
>NUP160 ;FBpp0079788 : W-rich region from 357 to 360 corrected with score 17
>NUP160 ;FBpp0079788 : Y-rich region from 1050 to 1057 corrected with score 17
>NUP160 ;FBpp0079788 : N-rich region from 702 to 720 corrected with score 16
>NUP160 ;FBpp0079788 : Y-rich region from 716 to 722 corrected with score 17
>NUP160 ;FBpp0079788 : D-rich region from 325 to 328 corrected with score 16
>NUP160 ;FBpp0079788 : H-rich region from 839 to 840 corrected with score 16
>NUP160 ;FBpp0079788 : M-rich region from 672 to 699 corrected with score 16
>NUP160 ;FBpp0079788 : M-rich region from 1396 to 1403 corrected with score 16
>NUP160 ;FBpp0079788 : E-rich region from 1378 to 1411 corrected with score 18
>NUP160 ;FBpp0079788 : T-rich region from 31 to 47 corrected with score 16
>NUP160 ;FBpp0079788 : Y-rich region from 930 to 932 corrected with score 16
>NUP160 ;FBpp0079788 : N-rich region from 53 to 63 corrected with score 15
>NUP160 ;FBpp0079788 : N-rich region from 1230 to 1246 corrected with score 15
>NUP160 ;FBpp0079788 : I-rich region from 252 to 257 corrected with score 15
>NUP160 ;FBpp0079788 : L-rich region from 633 to 643 corrected with score 15
>NUP160 ;FBpp0079788 : P-rich region from 961 to 967 corrected with score 15
>NUP160 ;FBpp0079788 : S-rich region from 350 to 379 corrected with score 15
>SEH1-A ;FBpp0087938 : T-rich region from 94 to 118 corrected with score 29
>SEH1-A ;FBpp0087938 : P-rich region from 320 to 329 corrected with score 28
>SEH1-A ;FBpp0087938 : T-rich region from 327 to 339 corrected with score 24
>SEH1-A ;FBpp0087938 : A-rich region from 309 to 339 corrected with score 17
>SEH1-A ;FBpp0087938 : T-rich region from 172 to 193 corrected with score 16
>SEC13 ;FBpp0083801 : Q-rich region from 308 to 332 corrected with score 49
>SEC13 ;FBpp0083801 : S-rich region from 244 to 356 corrected with score 31
>SEC13 ;FBpp0083801 : S-rich region from 100 to 130 corrected with score 22
>SEC13 ;FBpp0083801 : H-rich region from 11 to 18 corrected with score 18
>SEC13 ;FBpp0083801 : H-rich region from 313 to 319 corrected with score 18
>SEC13 ;FBpp0083801 : E-rich region from 196 to 213 corrected with score 17
>SEC13 ;FBpp0083801 : P-rich region from 161 to 167 corrected with score 17
>SEC13 ;FBpp0083801 : E-rich region from 6 to 14 corrected with score 16
>SEC13 ;FBpp0083801 : P-rich region from 334 to 339 corrected with score 15
>SEC13 ;FBpp0083801 : W-rich region from 265 to 269 corrected with score 15
